system:index,Date,Latitude,Longitude,LST_Celsius,NDVI,Air_Temperature_C,Dew_Point_Temperature_C,Relative_Humidity_%,WindDirection,WindSpeed,Rainfall_mm,impervious_percentage,Cluster,UHI_Label
20250331_237,2025-03-31,19.36501801801804,73.60184313725487,33.600398000081384,0.3633,33.600398000081384,12.47487856547042,27.762890840000715,97.56788997228144,0.7087024230802945,0.0032663344313732,0.0761742074162502,1,High UHI
20250331_238,2025-03-31,19.36501801801804,73.65086274509801,32.051651255289755,0.2718,33.600398000081384,12.47487856547042,27.762890840000715,97.56788997228144,0.7087024230802945,0.0032663344313732,0.1973513541810279,1,High UHI
20250331_239,2025-03-31,19.36501801801804,73.69988235294115,32.051651255289755,0.2682,32.051651255289755,11.12063051859542,27.70384871225196,103.3386706693938,0.6051037404867593,0.0025957821776501,0.1026173395888384,1,High UHI
20250331_240,2025-03-31,19.410063063063085,72.76850980392157,30.955622609456384,-999.0,30.955622609456384,15.768905258178734,39.920362055038886,147.19764146719098,2.269126718913577,0.0012844799925915,1.6749093006931683,1,High UHI
20250331_241,2025-03-31,19.410063063063085,72.81752941176471,30.955622609456384,0.412,30.955622609456384,15.768905258178734,39.920362055038886,147.19764146719098,2.269126718913577,0.0012844799925915,25.63695473614049,4,Moderate-High UHI
20250331_242,2025-03-31,19.410063063063085,72.86654901960785,30.955622609456384,0.2392,31.311335500081384,14.32912661234542,35.656173255246,135.37886595897135,1.690383632326154,0.0012844799925915,19.88243705070057,1,High UHI
20250331_243,2025-03-31,19.410063063063085,72.91556862745098,31.311335500081384,0.541,31.311335500081384,14.32912661234542,35.656173255246,135.37886595897135,1.690383632326154,0.0012844799925915,0.3640519889356425,1,High UHI
20250331_244,2025-03-31,19.410063063063085,72.96458823529412,31.65891036987307,0.6155,31.65891036987307,13.870956039428734,33.934670071168874,120.84114606840308,1.3349218336334243,0.0012844799925915,0.1148438392950319,1,High UHI
20250331_245,2025-03-31,19.410063063063085,73.01360784313725,31.65891036987307,0.4502,31.65891036987307,13.870956039428734,33.934670071168874,120.84114606840308,1.3349218336334243,0.0012844799925915,0.0288896836847043,1,High UHI
20250331_246,2025-03-31,19.410063063063085,73.06262745098039,32.113418833414755,0.3491,32.113418833414755,13.48708559672042,32.2551870093918,100.795978694333,1.1508571593752035,0.0012844799925915,0.687045470480885,1,High UHI
20250331_247,2025-03-31,19.410063063063085,73.11164705882352,32.113418833414755,0.2774,32.113418833414755,13.48708559672042,32.2551870093918,100.795978694333,1.1508571593752035,0.0012844799925915,0.8103033875297995,1,High UHI
20250331_248,2025-03-31,19.410063063063085,73.16066666666666,32.227106984456384,0.3576,32.227106984456384,13.425724919637048,31.9203413274404,88.62835379686416,1.072872501124992,0.0019252299239269,0.3020399564183852,1,High UHI
20250331_249,2025-03-31,19.410063063063085,73.20968627450979,32.227106984456384,0.3152,32.227106984456384,13.425724919637048,31.9203413274404,88.62835379686416,1.072872501124992,0.0019252299239269,0.904861231507784,1,High UHI
20250331_250,2025-03-31,19.410063063063085,73.25870588235293,32.29538497924807,0.318,32.29538497924807,13.203312810262048,31.33922980366369,80.54470788156654,1.0041764787137637,0.0023424624373546,5.705883589185288,1,High UHI
20250331_251,2025-03-31,19.410063063063085,73.30772549019606,32.29538497924807,0.3335,32.29538497924807,13.203312810262048,31.33922980366369,80.54470788156654,1.0041764787137637,0.0023424624373546,0.4509039186510274,1,High UHI
20250331_252,2025-03-31,19.410063063063085,73.3567450980392,32.29538497924807,0.3177,32.772273000081384,13.391952133178734,30.88433672340348,74.5893793208866,0.9423427207303374,0.0023424624373546,0.3218540689664953,1,High UHI
20250331_253,2025-03-31,19.410063063063085,73.40576470588233,32.772273000081384,0.3012,32.772273000081384,13.391952133178734,30.88433672340348,74.5893793208866,0.9423427207303374,0.0023424624373546,0.0409537125639074,1,High UHI
20250331_254,2025-03-31,19.410063063063085,73.45478431372547,33.832901255289755,0.3661,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.2195011849151013,1,High UHI
20250331_255,2025-03-31,19.410063063063085,73.5038039215686,33.832901255289755,0.3887,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.0561961059564328,1,High UHI
20250331_256,2025-03-31,19.410063063063085,73.55282352941174,33.600398000081384,0.3421,33.832901255289755,13.023869450887048,28.4075717423386,86.88948035530717,0.8182367116792644,0.0031620263030163,0.0788121395874023,1,High UHI
20250331_257,2025-03-31,19.410063063063085,73.60184313725487,33.600398000081384,0.3059,33.600398000081384,12.47487856547042,27.762890840000715,97.56788997228144,0.7087024230802945,0.0032663344313732,0.279600760559082,1,High UHI
20250331_258,2025-03-31,19.410063063063085,73.65086274509801,32.051651255289755,0.3347,33.600398000081384,12.47487856547042,27.762890840000715,97.56788997228144,0.7087024230802945,0.0032663344313732,0.1944238628234863,1,High UHI
20250331_259,2025-03-31,19.410063063063085,73.69988235294115,32.051651255289755,0.2962,32.051651255289755,11.12063051859542,27.70384871225196,103.3386706693938,0.6051037404867593,0.0025957821776501,0.0562980211486816,1,High UHI
20250331_260,2025-03-31,19.45510810810813,72.76850980392157,31.473770395914755,0.5304,31.473770395914755,13.48879458109542,33.45178467595835,148.21491806821308,2.0946933003607,0.0012844799925915,3.783157593283021,1,High UHI
